Fiscal_Year,Province_Territory,Age_Group,Sex,Number_of_Discharges,Total_Length_of_Stay_Days,Average_Length_of_Stay_Days
2017–2018,Yukon,45–49,Male,73.0,645.0,8.8
2017–2018,Yukon,50–54,All,197.0,855.0,4.3
2017–2018,Yukon,50–54,Female,90.0,374.0,4.2
2017–2018,Yukon,50–54,Male,107.0,481.0,4.5
2017–2018,Yukon,55–59,All,220.0,1298.0,5.9
2017–2018,Yukon,55–59,Female,91.0,458.0,5.0
2017–2018,Yukon,55–59,Male,129.0,840.0,6.5
2017–2018,Yukon,60–64,All,272.0,2003.0,7.4
2017–2018,Yukon,60–64,Female,130.0,786.0,6.0
2017–2018,Yukon,60–64,Male,142.0,1217.0,8.6
2017–2018,Yukon,65–69,All,241.0,1928.0,8.0
2017–2018,Yukon,65–69,Female,120.0,809.0,6.7
2017–2018,Yukon,65–69,Male,121.0,1119.0,9.2
2017–2018,Yukon,70–74,All,252.0,3653.0,14.5
2017–2018,Yukon,70–74,Female,103.0,1235.0,12.0
2017–2018,Yukon,70–74,Male,149.0,2418.0,16.2
2017–2018,Yukon,75–79,All,175.0,1461.0,8.3
2017–2018,Yukon,75–79,Female,87.0,614.0,7.1
2017–2018,Yukon,75–79,Male,88.0,847.0,9.6
2017–2018,Yukon,80–84,All,163.0,2686.0,16.5
2017–2018,Yukon,80–84,Female,74.0,1043.0,14.1
2017–2018,Yukon,80–84,Male,89.0,1643.0,18.5
2017–2018,Yukon,85–89,All,93.0,1216.0,13.1
2017–2018,Yukon,85–89,Female,47.0,647.0,13.8
2017–2018,Yukon,85–89,Male,46.0,569.0,12.4
2017–2018,Yukon,90+,All,63.0,1351.0,21.4
2017–2018,Yukon,90+,Female,41.0,976.0,23.8
2017–2018,Yukon,90+,Male,22.0,375.0,17.0
2017–2018,Yukon,All,All,3207.0,21500.0,6.7
2017–2018,Yukon,All,Female,1806.0,9835.0,5.4
2017–2018,Yukon,All,Male,1401.0,11665.0,8.3
2017–2018,Northwest Territories,00–04,All,236.0,862.0,3.7
2017–2018,Northwest Territories,00–04,Female,97.0,408.0,4.2
2017–2018,Northwest Territories,00–04,Male,139.0,454.0,3.3
2017–2018,Northwest Territories,05–09,All,65.0,156.0,2.4
2017–2018,Northwest Territories,05–09,Female,34.0,80.0,2.4
2017–2018,Northwest Territories,05–09,Male,31.0,76.0,2.5
2017–2018,Northwest Territories,10–14,All,89.0,274.0,3.1
2017–2018,Northwest Territories,10–14,Female,63.0,192.0,3.0
2017–2018,Northwest Territories,10–14,Male,26.0,82.0,3.2
2017–2018,Northwest Territories,15–19,All,272.0,836.0,3.1
2017–2018,Northwest Territories,15–19,Female,204.0,569.0,2.8
2017–2018,Northwest Territories,15–19,Male,68.0,267.0,3.9
2017–2018,Northwest Territories,20–24,All,351.0,1399.0,4.0
2017–2018,Northwest Territories,20–24,Female,250.0,903.0,3.6
2017–2018,Northwest Territories,20–24,Male,101.0,496.0,4.9
2017–2018,Northwest Territories,25–29,All,481.0,1682.0,3.5
2017–2018,Northwest Territories,25–29,Female,357.0,1020.0,2.9
2017–2018,Northwest Territories,25–29,Male,124.0,662.0,5.3
2017–2018,Northwest Territories,30–34,All,377.0,1140.0,3.0
2017–2018,Northwest Territories,30–34,Female,305.0,895.0,2.9
2017–2018,Northwest Territories,30–34,Male,72.0,245.0,3.4
2017–2018,Northwest Territories,35–39,All,276.0,1058.0,3.8
2017–2018,Northwest Territories,35–39,Female,183.0,750.0,4.1
2017–2018,Northwest Territories,35–39,Male,93.0,308.0,3.3
2017–2018,Northwest Territories,40–44,All,237.0,1485.0,6.3
2017–2018,Northwest Territories,40–44,Female,136.0,559.0,4.1
2017–2018,Northwest Territories,40–44,Male,101.0,926.0,9.2
2017–2018,Northwest Territories,45–49,All,209.0,849.0,4.1
2017–2018,Northwest Territories,45–49,Female,108.0,455.0,4.2
2017–2018,Northwest Territories,45–49,Male,101.0,394.0,3.9
2017–2018,Northwest Territories,50–54,All,284.0,990.0,3.5
2017–2018,Northwest Territories,50–54,Female,141.0,531.0,3.8
2017–2018,Northwest Territories,50–54,Male,143.0,459.0,3.2
2017–2018,Northwest Territories,55–59,All,280.0,1407.0,5.0
2017–2018,Northwest Territories,55–59,Female,135.0,742.0,5.5
2017–2018,Northwest Territories,55–59,Male,145.0,665.0,4.6
2017–2018,Northwest Territories,60–64,All,315.0,2042.0,6.5
2017–2018,Northwest Territories,60–64,Female,134.0,790.0,5.9
2017–2018,Northwest Territories,60–64,Male,181.0,1252.0,6.9
2017–2018,Northwest Territories,65–69,All,253.0,2161.0,8.5
2017–2018,Northwest Territories,65–69,Female,144.0,1081.0,7.5
2017–2018,Northwest Territories,65–69,Male,109.0,1080.0,9.9
2017–2018,Northwest Territories,70–74,All,243.0,2076.0,8.5
2017–2018,Northwest Territories,70–74,Female,121.0,1313.0,10.9
2017–2018,Northwest Territories,70–74,Male,122.0,763.0,6.3
2017–2018,Northwest Territories,75–79,All,206.0,2021.0,9.8
2017–2018,Northwest Territories,75–79,Female,98.0,711.0,7.3
2017–2018,Northwest Territories,75–79,Male,108.0,1310.0,12.1
2017–2018,Northwest Territories,80–84,All,128.0,1311.0,10.2
2017–2018,Northwest Territories,80–84,Female,73.0,859.0,11.8
2017–2018,Northwest Territories,80–84,Male,55.0,452.0,8.2
2017–2018,Northwest Territories,85–89,All,113.0,1148.0,10.2
2017–2018,Northwest Territories,85–89,Female,60.0,726.0,12.1
2017–2018,Northwest Territories,85–89,Male,53.0,422.0,8.0
2017–2018,Northwest Territories,90+,All,37.0,306.0,8.3
2017–2018,Northwest Territories,90+,Female,26.0,256.0,9.8
2017–2018,Northwest Territories,90+,Male,11.0,50.0,4.5
2017–2018,Northwest Territories,All,All,4452.0,23203.0,5.2
2017–2018,Northwest Territories,All,Female,2669.0,12840.0,4.8
2017–2018,Northwest Territories,All,Male,1783.0,10363.0,5.8
2017–2018,Nunavut,00–04,All,254.0,760.0,3.0
2017–2018,Nunavut,00–04,Female,109.0,308.0,2.8
2017–2018,Nunavut,00–04,Male,145.0,452.0,3.1
2017–2018,Nunavut,05–09,All,42.0,143.0,3.4
2017–2018,Nunavut,05–09,Female,25.0,80.0,3.2
2017–2018,Nunavut,05–09,Male,17.0,63.0,3.7
2017–2018,Nunavut,10–14,All,45.0,91.0,2.0
2017–2018,Nunavut,10–14,Female,30.0,58.0,1.9
2017–2018,Nunavut,10–14,Male,15.0,33.0,2.2
2017–2018,Nunavut,15–19,All,184.0,557.0,3.0
2017–2018,Nunavut,15–19,Female,136.0,356.0,2.6
2017–2018,Nunavut,15–19,Male,48.0,201.0,4.2
2017–2018,Nunavut,20–24,All,233.0,536.0,2.3
2017–2018,Nunavut,20–24,Female,181.0,382.0,2.1
2017–2018,Nunavut,20–24,Male,52.0,154.0,3.0
2017–2018,Nunavut,25–29,All,220.0,503.0,2.3
2017–2018,Nunavut,25–29,Female,177.0,354.0,2.0
2017–2018,Nunavut,25–29,Male,43.0,149.0,3.5
2017–2018,Nunavut,30–34,All,157.0,421.0,2.7
2017–2018,Nunavut,30–34,Female,129.0,342.0,2.7
2017–2018,Nunavut,30–34,Male,28.0,79.0,2.8
2017–2018,Nunavut,35–39,All,98.0,300.0,3.1
2017–2018,Nunavut,35–39,Female,67.0,174.0,2.6
2017–2018,Nunavut,35–39,Male,31.0,126.0,4.1
2017–2018,Nunavut,40–44,All,65.0,266.0,4.1
2017–2018,Nunavut,40–44,Female,35.0,142.0,4.1
2017–2018,Nunavut,40–44,Male,30.0,124.0,4.1
2017–2018,Nunavut,45–49,All,72.0,310.0,4.3
2017–2018,Nunavut,45–49,Female,42.0,188.0,4.5
2017–2018,Nunavut,45–49,Male,30.0,122.0,4.1
2017–2018,Nunavut,50–54,All,85.0,331.0,3.9
2017–2018,Nunavut,50–54,Female,50.0,206.0,4.1
2017–2018,Nunavut,50–54,Male,35.0,125.0,3.6
2017–2018,Nunavut,55–59,All,73.0,371.0,5.1
2017–2018,Nunavut,55–59,Female,39.0,181.0,4.6
2017–2018,Nunavut,55–59,Male,34.0,190.0,5.6
2017–2018,Nunavut,60–64,All,74.0,264.0,3.6
2017–2018,Nunavut,60–64,Female,38.0,139.0,3.7
2017–2018,Nunavut,60–64,Male,36.0,125.0,3.5
2017–2018,Nunavut,65–69,All,65.0,500.0,7.7
2017–2018,Nunavut,65–69,Female,19.0,174.0,9.2
2017–2018,Nunavut,65–69,Male,46.0,326.0,7.1
2017–2018,Nunavut,70–74,All,59.0,404.0,6.8
2017–2018,Nunavut,70–74,Female,36.0,251.0,7.0
2017–2018,Nunavut,70–74,Male,23.0,153.0,6.7
2017–2018,Nunavut,75–79,All,46.0,417.0,9.1
2017–2018,Nunavut,75–79,Female,23.0,156.0,6.8
2017–2018,Nunavut,75–79,Male,23.0,261.0,11.3
2017–2018,Nunavut,80–84,All,30.0,255.0,8.5
2017–2018,Nunavut,80–84,Female,17.0,214.0,12.6
2017–2018,Nunavut,80–84,Male,13.0,41.0,3.2
2017–2018,Nunavut,85–89,All,5.0,99.0,11.0
2017–2018,Nunavut,85–89,Female,,,
2017–2018,Nunavut,85–89,Male,5.0,30.0,6.0
2017–2018,Nunavut,90+,All,,,
2017–2018,Nunavut,90+,Female,,,
2017–2018,Nunavut,90+,Male,0.0,0.0,0.0
2017–2018,Nunavut,All,All,1807.0,6537.0,3.6
2017–2018,Nunavut,All,Female,1153.0,3783.0,3.3
2017–2018,Nunavut,All,Male,654.0,2754.0,4.2
2017–2018,Canada,00–04,All,123848.0,567007.0,4.6
2017–2018,Canada,00–04,Female,52874.0,250204.0,4.7
2017–2018,Canada,00–04,Male,70974.0,316742.0,4.5
2017–2018,Canada,05–09,All,35431.0,114710.0,3.2
2017–2018,Canada,05–09,Female,15421.0,48585.0,3.2
2017–2018,Canada,05–09,Male,20010.0,66124.0,3.3
2017–2018,Canada,10–14,All,37317.0,173168.0,4.6
2017–2018,Canada,10–14,Female,19238.0,94984.0,4.9
2017–2018,Canada,10–14,Male,18069.0,78153.0,4.3
2017–2018,Canada,15–19,All,71992.0,381456.0,5.3
2017–2018,Canada,15–19,Female,44414.0,223166.0,5.0
2017–2018,Canada,15–19,Male,27529.0,158103.0,5.7
2017–2018,Canada,20–24,All,112781.0,530974.0,4.7
2017–2018,Canada,20–24,Female,80355.0,293534.0,3.7
2017–2018,Canada,20–24,Male,32365.0,237324.0,7.3
2017–2018,Canada,25–29,All,185765.0,698743.0,3.8
2017–2018,Canada,25–29,Female,151006.0,446448.0,3.0
2017–2018,Canada,25–29,Male,34718.0,252179.0,7.3
2017–2018,Canada,30–34,All,220232.0,785351.0,3.6
2017–2018,Canada,30–34,Female,184070.0,532897.0,2.9
2017–2018,Canada,30–34,Male,36141.0,252380.0,7.0
2017–2018,Canada,35–39,All,161442.0,685636.0,4.2
2017–2018,Canada,35–39,Female,122532.0,424872.0,3.5
2017–2018,Canada,35–39,Male,38894.0,260714.0,6.7
2017–2018,Canada,40–44,All,109677.0,597359.0,5.4
2017–2018,Canada,40–44,Female,66955.0,316568.0,4.7
2017–2018,Canada,40–44,Male,42707.0,280708.0,6.6
2017–2018,Canada,45–49,All,115071.0,715856.0,6.2
2017–2018,Canada,45–49,Female,60203.0,348380.0,5.8
2017–2018,Canada,45–49,Male,54868.0,367461.0,6.7
2017–2018,Canada,50–54,All,153085.0,1022471.0,6.7
2017–2018,Canada,50–54,Female,74085.0,470932.0,6.4
2017–2018,Canada,50–54,Male,78989.0,551459.0,7.0
2017–2018,Canada,55–59,All,197760.0,1403651.0,7.1
2017–2018,Canada,55–59,Female,91002.0,627743.0,6.9
2017–2018,Canada,55–59,Male,106758.0,775905.0,7.3
2017–2018,Canada,60–64,All,232109.0,1740437.0,7.5
2017–2018,Canada,60–64,Female,104543.0,763048.0,7.3
2017–2018,Canada,60–64,Male,127566.0,977268.0,7.7
2017–2018,Canada,65–69,All,256051.0,2035314.0,7.9
2017–2018,Canada,65–69,Female,116612.0,914265.0,7.8
2017–2018,Canada,65–69,Male,139439.0,1121016.0,8.0
2017–2018,Canada,70–74,All,264976.0,2270252.0,8.6
2017–2018,Canada,70–74,Female,122985.0,1063292.0,8.6
2017–2018,Canada,70–74,Male,141991.0,1206948.0,8.5
2017–2018,Canada,75–79,All,242059.0,2342658.0,9.7
2017–2018,Canada,75–79,Female,117295.0,1151095.0,9.8
2017–2018,Canada,75–79,Male,124764.0,1191562.0,9.6
2017–2018,Canada,80–84,All,223126.0,2447012.0,11.0
2017–2018,Canada,80–84,Female,113454.0,1267625.0,11.2
2017–2018,Canada,80–84,Male,109672.0,1179374.0,10.8
2017–2018,Canada,85–89,All,190207.0,2308449.0,12.1
2017–2018,Canada,85–89,Female,105676.0,1312668.0,12.4
2017–2018,Canada,85–89,Male,84531.0,995781.0,11.8
2017–2018,Canada,90+,All,142036.0,1873875.0,13.2
2017–2018,Canada,90+,Female,92871.0,1250921.0,13.5
2017–2018,Canada,90+,Male,49165.0,622954.0,12.7
2017–2018,Canada,All,All,3074965.0,22694379.0,7.4
2017–2018,Canada,All,Female,1735591.0,11801227.0,6.8
2017–2018,Canada,All,Male,1339150.0,10892155.0,8.1
2016–2017,Newfoundland and Labrador,00–04,All,1378.0,6165.0,4.5
2016–2017,Newfoundland and Labrador,00–04,Female,576.0,2995.0,5.2
2016–2017,Newfoundland and Labrador,00–04,Male,802.0,3170.0,4.0
2016–2017,Newfoundland and Labrador,05–09,All,677.0,2006.0,3.0
2016–2017,Newfoundland and Labrador,05–09,Female,313.0,1087.0,3.5
2016–2017,Newfoundland and Labrador,05–09,Male,364.0,919.0,2.5
2016–2017,Newfoundland and Labrador,10–14,All,607.0,3008.0,5.0
2016–2017,Newfoundland and Labrador,10–14,Female,316.0,1779.0,5.6
2016–2017,Newfoundland and Labrador,10–14,Male,291.0,1229.0,4.2
2016–2017,Newfoundland and Labrador,15–19,All,1236.0,5752.0,4.7
2016–2017,Newfoundland and Labrador,15–19,Female,832.0,3903.0,4.7
2016–2017,Newfoundland and Labrador,15–19,Male,404.0,1849.0,4.6
2016–2017,Newfoundland and Labrador,20–24,All,1663.0,7494.0,4.5
2016–2017,Newfoundland and Labrador,20–24,Female,1285.0,4886.0,3.8
2016–2017,Newfoundland and Labrador,20–24,Male,378.0,2608.0,6.9
2016–2017,Newfoundland and Labrador,25–29,All,2387.0,9454.0,4.0
2016–2017,Newfoundland and Labrador,25–29,Female,2001.0,6854.0,3.4
2016–2017,Newfoundland and Labrador,25–29,Male,386.0,2600.0,6.7
2016–2017,Newfoundland and Labrador,30–34,All,2745.0,10868.0,4.0
2016–2017,Newfoundland and Labrador,30–34,Female,2295.0,7947.0,3.5
2016–2017,Newfoundland and Labrador,30–34,Male,450.0,2921.0,6.5
2016–2017,Newfoundland and Labrador,35–39,All,2075.0,11423.0,5.5
2016–2017,Newfoundland and Labrador,35–39,Female,1459.0,6839.0,4.7
2016–2017,Newfoundland and Labrador,35–39,Male,616.0,4584.0,7.4
2016–2017,Newfoundland and Labrador,40–44,All,1740.0,10028.0,5.8
2016–2017,Newfoundland and Labrador,40–44,Female,1035.0,5554.0,5.4
2016–2017,Newfoundland and Labrador,40–44,Male,705.0,4474.0,6.3
2016–2017,Newfoundland and Labrador,45–49,All,2261.0,14693.0,6.5
2016–2017,Newfoundland and Labrador,45–49,Female,1267.0,7952.0,6.3
2016–2017,Newfoundland and Labrador,45–49,Male,994.0,6741.0,6.8
2016–2017,Newfoundland and Labrador,50–54,All,2982.0,20500.0,6.9
2016–2017,Newfoundland and Labrador,50–54,Female,1564.0,9948.0,6.4
2016–2017,Newfoundland and Labrador,50–54,Male,1418.0,10552.0,7.4
2016–2017,Newfoundland and Labrador,55–59,All,3676.0,29841.0,8.1
2016–2017,Newfoundland and Labrador,55–59,Female,1820.0,14182.0,7.8
2016–2017,Newfoundland and Labrador,55–59,Male,1856.0,15659.0,8.4
2016–2017,Newfoundland and Labrador,60–64,All,4706.0,40208.0,8.5
2016–2017,Newfoundland and Labrador,60–64,Female,2189.0,18902.0,8.6
2016–2017,Newfoundland and Labrador,60–64,Male,2517.0,21306.0,8.5
2016–2017,Newfoundland and Labrador,65–69,All,5506.0,50276.0,9.1
2016–2017,Newfoundland and Labrador,65–69,Female,2527.0,22795.0,9.0
2016–2017,Newfoundland and Labrador,65–69,Male,2979.0,27481.0,9.2
2016–2017,Newfoundland and Labrador,70–74,All,5000.0,52082.0,10.4
2016–2017,Newfoundland and Labrador,70–74,Female,2319.0,26214.0,11.3
2016–2017,Newfoundland and Labrador,70–74,Male,2681.0,25858.0,9.6
2016–2017,Newfoundland and Labrador,75–79,All,4137.0,50333.0,12.2
2016–2017,Newfoundland and Labrador,75–79,Female,2009.0,24355.0,12.1
2016–2017,Newfoundland and Labrador,75–79,Male,2128.0,25978.0,12.2
2016–2017,Newfoundland and Labrador,80–84,All,3378.0,46255.0,13.7
2016–2017,Newfoundland and Labrador,80–84,Female,1697.0,26539.0,15.6
2016–2017,Newfoundland and Labrador,80–84,Male,1681.0,19716.0,11.7
2016–2017,Newfoundland and Labrador,85–89,All,2364.0,37347.0,15.8
2016–2017,Newfoundland and Labrador,85–89,Female,1336.0,22041.0,16.5
2016–2017,Newfoundland and Labrador,85–89,Male,1028.0,15306.0,14.9
2016–2017,Newfoundland and Labrador,90+,All,1415.0,26306.0,18.6
2016–2017,Newfoundland and Labrador,90+,Female,908.0,18823.0,20.7
2016–2017,Newfoundland and Labrador,90+,Male,507.0,7483.0,14.8
2016–2017,Newfoundland and Labrador,All,All,49933.0,434039.0,8.7
2016–2017,Newfoundland and Labrador,All,Female,27748.0,233595.0,8.4
2016–2017,Newfoundland and Labrador,All,Male,22185.0,200434.0,9.0
2016–2017,Prince Edward Island,00–04,All,564.0,2480.0,4.4
2016–2017,Prince Edward Island,00–04,Female,246.0,1264.0,5.1
2016–2017,Prince Edward Island,00–04,Male,318.0,1216.0,3.8
2016–2017,Prince Edward Island,05–09,All,212.0,636.0,3.0
2016–2017,Prince Edward Island,05–09,Female,96.0,302.0,3.1
2016–2017,Prince Edward Island,05–09,Male,116.0,334.0,2.9
2016–2017,Prince Edward Island,10–14,All,189.0,1131.0,6.0
2016–2017,Prince Edward Island,10–14,Female,101.0,614.0,6.1
2016–2017,Prince Edward Island,10–14,Male,88.0,517.0,5.9
2016–2017,Prince Edward Island,15–19,All,398.0,3241.0,8.1
2016–2017,Prince Edward Island,15–19,Female,274.0,2373.0,8.7
2016–2017,Prince Edward Island,15–19,Male,124.0,868.0,7.0
2016–2017,Prince Edward Island,20–24,All,528.0,2689.0,5.1
2016–2017,Prince Edward Island,20–24,Female,369.0,1738.0,4.7
2016–2017,Prince Edward Island,20–24,Male,159.0,948.0,6.0
2016–2017,Prince Edward Island,25–29,All,691.0,2646.0,3.8
2016–2017,Prince Edward Island,25–29,Female,589.0,2006.0,3.4
2016–2017,Prince Edward Island,25–29,Male,102.0,640.0,6.3
2016–2017,Prince Edward Island,30–34,All,887.0,3087.0,3.5
2016–2017,Prince Edward Island,30–34,Female,746.0,2328.0,3.1
2016–2017,Prince Edward Island,30–34,Male,141.0,759.0,5.4
2016–2017,Prince Edward Island,35–39,All,560.0,3692.0,6.6
2016–2017,Prince Edward Island,35–39,Female,397.0,2225.0,5.6
2016–2017,Prince Edward Island,35–39,Male,163.0,1465.0,9.0
2016–2017,Prince Edward Island,40–44,All,426.0,3438.0,8.1
2016–2017,Prince Edward Island,40–44,Female,275.0,2462.0,9.0
2016–2017,Prince Edward Island,40–44,Male,151.0,976.0,6.5
2016–2017,Prince Edward Island,45–49,All,429.0,2728.0,6.3
2016–2017,Prince Edward Island,45–49,Female,244.0,1265.0,5.2
2016–2017,Prince Edward Island,45–49,Male,185.0,1462.0,7.9
2016–2017,Prince Edward Island,50–54,All,712.0,7101.0,10.0
2016–2017,Prince Edward Island,50–54,Female,362.0,3357.0,9.3
2016–2017,Prince Edward Island,50–54,Male,350.0,3744.0,10.7
2016–2017,Prince Edward Island,55–59,All,907.0,7982.0,8.8
2016–2017,Prince Edward Island,55–59,Female,470.0,3754.0,8.0
2016–2017,Prince Edward Island,55–59,Male,437.0,4228.0,9.7
2016–2017,Prince Edward Island,60–64,All,1065.0,9335.0,8.8
2016–2017,Prince Edward Island,60–64,Female,526.0,4795.0,9.1
2016–2017,Prince Edward Island,60–64,Male,539.0,4540.0,8.4
2016–2017,Prince Edward Island,65–69,All,1363.0,14683.0,10.8
2016–2017,Prince Edward Island,65–69,Female,638.0,7033.0,11.0
2016–2017,Prince Edward Island,65–69,Male,725.0,7650.0,10.6
2016–2017,Prince Edward Island,70–74,All,1277.0,14396.0,11.3
2016–2017,Prince Edward Island,70–74,Female,631.0,7610.0,12.1
2016–2017,Prince Edward Island,70–74,Male,646.0,6786.0,10.5
2016–2017,Prince Edward Island,75–79,All,1144.0,14667.0,12.8
2016–2017,Prince Edward Island,75–79,Female,528.0,7112.0,13.5
2016–2017,Prince Edward Island,75–79,Male,616.0,7555.0,12.3
2016–2017,Prince Edward Island,80–84,All,1130.0,19165.0,17.0
2016–2017,Prince Edward Island,80–84,Female,585.0,9779.0,16.7
2016–2017,Prince Edward Island,80–84,Male,545.0,9386.0,17.2
2016–2017,Prince Edward Island,85–89,All,815.0,15605.0,19.1
2016–2017,Prince Edward Island,85–89,Female,462.0,9609.0,20.8
2016–2017,Prince Edward Island,85–89,Male,353.0,5996.0,17.0
2016–2017,Prince Edward Island,90+,All,599.0,11270.0,18.8
2016–2017,Prince Edward Island,90+,Female,391.0,7990.0,20.4
2016–2017,Prince Edward Island,90+,Male,208.0,3280.0,15.8
2016–2017,Prince Edward Island,All,All,13896.0,139972.0,10.1
2016–2017,Prince Edward Island,All,Female,7930.0,77616.0,9.8
2016–2017,Prince Edward Island,All,Male,5966.0,62350.0,10.5
2016–2017,Nova Scotia,00–04,All,2818.0,13263.0,4.7
2016–2017,Nova Scotia,00–04,Female,1179.0,5944.0,5.0
2016–2017,Nova Scotia,00–04,Male,1639.0,7319.0,4.5
2016–2017,Nova Scotia,05–09,All,1029.0,4391.0,4.3
2016–2017,Nova Scotia,05–09,Female,439.0,1893.0,4.3
2016–2017,Nova Scotia,05–09,Male,590.0,2497.0,4.2
2016–2017,Nova Scotia,10–14,All,1013.0,4451.0,4.4
2016–2017,Nova Scotia,10–14,Female,537.0,2379.0,4.4
2016–2017,Nova Scotia,10–14,Male,476.0,2072.0,4.4
2016–2017,Nova Scotia,15–19,All,2079.0,11120.0,5.3
2016–2017,Nova Scotia,15–19,Female,1274.0,6218.0,4.9
2016–2017,Nova Scotia,15–19,Male,805.0,4898.0,6.1
2016–2017,Nova Scotia,20–24,All,3160.0,15843.0,5.0
2016–2017,Nova Scotia,20–24,Female,2313.0,8583.0,3.7
2016–2017,Nova Scotia,20–24,Male,847.0,7260.0,8.6
2016–2017,Nova Scotia,25–29,All,4457.0,20071.0,4.5
2016–2017,Nova Scotia,25–29,Female,3607.0,13075.0,3.6
2016–2017,Nova Scotia,25–29,Male,845.0,6988.0,8.3
2016–2017,Nova Scotia,30–34,All,4670.0,18558.0,4.0
2016–2017,Nova Scotia,30–34,Female,3866.0,13268.0,3.4
2016–2017,Nova Scotia,30–34,Male,804.0,5289.0,6.6
2016–2017,Nova Scotia,35–39,All,3661.0,19421.0,5.3
2016–2017,Nova Scotia,35–39,Female,2669.0,11589.0,4.3
2016–2017,Nova Scotia,35–39,Male,992.0,7832.0,7.9
2016–2017,Nova Scotia,40–44,All,2887.0,17416.0,6.0
2016–2017,Nova Scotia,40–44,Female,1690.0,9290.0,5.5
2016–2017,Nova Scotia,40–44,Male,1197.0,8126.0,6.8
2016–2017,Nova Scotia,45–49,All,3455.0,23725.0,6.9
2016–2017,Nova Scotia,45–49,Female,1822.0,11692.0,6.4
2016–2017,Nova Scotia,45–49,Male,1633.0,12033.0,7.4
2016–2017,Nova Scotia,50–54,All,4866.0,34396.0,7.1
2016–2017,Nova Scotia,50–54,Female,2384.0,16269.0,6.8
2016–2017,Nova Scotia,50–54,Male,2482.0,18127.0,7.3
2016–2017,Nova Scotia,55–59,All,6168.0,50896.0,8.3
2016–2017,Nova Scotia,55–59,Female,2825.0,23607.0,8.4
2016–2017,Nova Scotia,55–59,Male,3343.0,27289.0,8.2
2016–2017,Nova Scotia,60–64,All,7496.0,63225.0,8.4
2016–2017,Nova Scotia,60–64,Female,3421.0,28892.0,8.4
2016–2017,Nova Scotia,60–64,Male,4075.0,34333.0,8.4
2016–2017,Nova Scotia,65–69,All,8731.0,81682.0,9.4
2016–2017,Nova Scotia,65–69,Female,3807.0,37044.0,9.7
2016–2017,Nova Scotia,65–69,Male,4924.0,44638.0,9.1
2016–2017,Nova Scotia,70–74,All,8227.0,83296.0,10.1
2016–2017,Nova Scotia,70–74,Female,3736.0,38432.0,10.3
2016–2017,Nova Scotia,70–74,Male,4491.0,44864.0,10.0
2016–2017,Nova Scotia,75–79,All,7186.0,87426.0,12.2
2016–2017,Nova Scotia,75–79,Female,3338.0,41973.0,12.6
2016–2017,Nova Scotia,75–79,Male,3848.0,45453.0,11.8
2016–2017,Nova Scotia,80–84,All,6162.0,90381.0,14.7
2016–2017,Nova Scotia,80–84,Female,3085.0,47863.0,15.5
2016–2017,Nova Scotia,80–84,Male,3077.0,42518.0,13.8
2016–2017,Nova Scotia,85–89,All,4677.0,76581.0,16.4
2016–2017,Nova Scotia,85–89,Female,2637.0,46771.0,17.7
2016–2017,Nova Scotia,85–89,Male,2040.0,29810.0,14.6
2016–2017,Nova Scotia,90+,All,3282.0,64294.0,19.6
2016–2017,Nova Scotia,90+,Female,2227.0,45267.0,20.3
2016–2017,Nova Scotia,90+,Male,1055.0,19027.0,18.0
2016–2017,Nova Scotia,All,All,86024.0,780436.0,9.1
2016–2017,Nova Scotia,All,Female,46856.0,410049.0,8.8
2016–2017,Nova Scotia,All,Male,39163.0,370373.0,9.5
2016–2017,New Brunswick,00–04,All,2176.0,6486.0,3.0
2016–2017,New Brunswick,00–04,Female,971.0,3289.0,3.4
2016–2017,New Brunswick,00–04,Male,1205.0,3197.0,2.7
2016–2017,New Brunswick,05–09,All,714.0,1995.0,2.8
2016–2017,New Brunswick,05–09,Female,319.0,804.0,2.5
2016–2017,New Brunswick,05–09,Male,395.0,1191.0,3.0
2016–2017,New Brunswick,10–14,All,697.0,4070.0,5.8
2016–2017,New Brunswick,10–14,Female,350.0,1893.0,5.4
2016–2017,New Brunswick,10–14,Male,347.0,2177.0,6.3
2016–2017,New Brunswick,15–19,All,1674.0,8726.0,5.2
2016–2017,New Brunswick,15–19,Female,1071.0,5345.0,5.0
2016–2017,New Brunswick,15–19,Male,603.0,3380.0,5.6
2016–2017,New Brunswick,20–24,All,2829.0,12761.0,4.5
2016–2017,New Brunswick,20–24,Female,2156.0,7475.0,3.5
2016–2017,New Brunswick,20–24,Male,673.0,5286.0,7.9
2016–2017,New Brunswick,25–29,All,3849.0,15519.0,4.0
2016–2017,New Brunswick,25–29,Female,3135.0,10103.0,3.2
2016–2017,New Brunswick,25–29,Male,714.0,5404.0,7.6
2016–2017,New Brunswick,30–34,All,3685.0,15752.0,4.3
2016–2017,New Brunswick,30–34,Female,2957.0,10890.0,3.7
2016–2017,New Brunswick,30–34,Male,728.0,4862.0,6.7
2016–2017,New Brunswick,35–39,All,2912.0,14696.0,5.0
2016–2017,New Brunswick,35–39,Female,2049.0,9018.0,4.4
2016–2017,New Brunswick,35–39,Male,863.0,5678.0,6.6
2016–2017,New Brunswick,40–44,All,2686.0,17060.0,6.4
2016–2017,New Brunswick,40–44,Female,1577.0,8565.0,5.4
2016–2017,New Brunswick,40–44,Male,1109.0,8495.0,7.7
2016–2017,New Brunswick,45–49,All,2897.0,22694.0,7.8
